lat	lon	title	description	iconSize	incoOffset	icon
37.4051003478	-5.99430698433	Prueba	Punto 0	21,25	-10,-25	autobus.gif
37.4040500083	-5.9952195743	Prueba	Punto 1	21,25	-10,-25	autobus.gif
37.4029403863	-5.99633767184	Prueba	Punto 2	21,25	-10,-25	autobus.gif
37.4021823469	-5.99709350014	Prueba	Punto 3	21,25	-10,-25	autobus.gif
37.4020157985	-5.99726528117	Prueba	Punto 4	21,25	-10,-25	autobus.gif
37.4015077501	-5.99775663673	Prueba	Punto 5	21,25	-10,-25	autobus.gif
37.4008432074	-5.99837851429	Prueba	Punto 6	21,25	-10,-25	autobus.gif
37.3997686549	-5.99962250904	Prueba	Punto 7	21,25	-10,-25	autobus.gif
37.3993890191	-5.99993560322	Prueba	Punto 8	21,25	-10,-25	autobus.gif
37.3990441982	-6.00047437922	Prueba	Punto 9	21,25	-10,-25	autobus.gif
37.3987686928	-6.00103338741	Prueba	Punto 10	21,25	-10,-25	autobus.gif
37.3985084473	-6.00152364771	Prueba	Punto 11	21,25	-10,-25	autobus.gif
37.3981649323	-6.00201075667	Prueba	Punto 12	21,25	-10,-25	autobus.gif
37.3977791527	-6.00256534938	Prueba	Punto 13	21,25	-10,-25	autobus.gif
37.3970957168	-6.0028661125	Prueba	Punto 14	21,25	-10,-25	autobus.gif
37.3965351714	-6.00320636567	Prueba	Punto 15	21,25	-10,-25	autobus.gif
37.395965565	-6.00345996098	Prueba	Punto 16	21,25	-10,-25	autobus.gif
37.3956024972	-6.00365262862	Prueba	Punto 17	21,25	-10,-25	autobus.gif
37.395216315	-6.00360261731	Prueba	Punto 18	21,25	-10,-25	autobus.gif
37.3949160809	-6.00353892255	Prueba	Punto 19	21,25	-10,-25	autobus.gif
37.3946131616	-6.00349223789	Prueba	Punto 20	21,25	-10,-25	autobus.gif
37.3942867471	-6.00330644675	Prueba	Punto 21	21,25	-10,-25	autobus.gif
37.3938919388	-6.00315268876	Prueba	Punto 22	21,25	-10,-25	autobus.gif
37.3934016867	-6.00294306622	Prueba	Punto 23	21,25	-10,-25	autobus.gif
37.392853858	-6.00278302628	Prueba	Punto 24	21,25	-10,-25	autobus.gif
37.3925828227	-6.00263403948	Prueba	Punto 25	21,25	-10,-25	autobus.gif
